Log file open, 12/16/22 18:05:56
[2022.12.16-17.06.19:645][  0]LogUdpMessaging: Initializing bridge on interface 0.0.0.0:0 to multicast group 230.0.0.1:6666.
[2022.12.16-17.06.19:648][  0]LogUdpMessaging: Display: Added local interface '192.168.0.94' to multicast group '230.0.0.1:6666'
[2022.12.16-17.06.19:736][  0]LogNiagaraDebuggerClient: Niagara Debugger Client Initialized | Session: C25DA62A47A1D846E4B992B91062ACA5 | Instance: D2C7CA5C4695C71DC005BFB7EB0302D1 (DESKTOP-HETOFIV-8164).
[2022.12.16-17.06.20:315][  0]LogAndroidPermission: UAndroidPermissionCallbackProxy::GetInstance
[2022.12.16-17.06.20:356][  0]LogAudioCaptureCore: Display: No Audio Capture implementations found. Audio input will be silent.
[2022.12.16-17.06.20:356][  0]LogAudioCaptureCore: Display: No Audio Capture implementations found. Audio input will be silent.
[2022.12.16-17.06.21:775][  0]LogOpenImageDenoise: OIDN starting up
[2022.12.16-17.06.22:110][  0]SourceControl: Source control is disabled
[2022.12.16-17.06.22:116][  0]SourceControl: Source control is disabled
[2022.12.16-17.06.22:136][  0]SourceControl: Source control is disabled
[2022.12.16-17.06.22:173][  0]LogUProjectInfo: Found projects:
[2022.12.16-17.06.24:098][  0]LogCollectionManager: Loaded 0 collections in 0.001155 seconds
[2022.12.16-17.06.24:100][  0]LogFileCache: Scanning file cache for directory 'D:/fme2/fme2/Saved/Collections/' took 0.00s
[2022.12.16-17.06.24:103][  0]LogFileCache: Scanning file cache for directory 'D:/fme2/fme2/Content/Developers/RyzenRX580/Collections/' took 0.00s
[2022.12.16-17.06.24:112][  0]LogFileCache: Scanning file cache for directory 'D:/fme2/fme2/Content/Collections/' took 0.00s
[2022.12.16-17.06.24:690][  0]LogEngine: Initializing Engine...
[2022.12.16-17.06.24:909][  0]LogStylusInput: Initializing StylusInput subsystem.
[2022.12.16-17.06.24:923][  0]LogStats: UGameplayTagsManager::InitializeManager -  0.000 s
[2022.12.16-17.06.25:289][  0]LogInit: Initializing FReadOnlyCVARCache
[2022.12.16-17.06.25:311][  0]LogChaos: FPhysicsSolverBase::AsyncDt:-1.000000
[2022.12.16-17.06.25:409][  0]LogAIModule: Creating AISystem for world Untitled
[2022.12.16-17.06.25:410][  0]LogNetVersion: Set ProjectVersion to 1.0.0.0. Version Checksum will be recalculated on next use.
[2022.12.16-17.06.25:410][  0]LogInit: Texture streaming: Enabled
[2022.12.16-17.06.25:446][  0]LogAnalytics: Display: [UEEditor.Rocket.Release] APIServer = https://datarouter.ol.epicgames.com/. AppVersion = 5.1.0-23058290+++UE5+Release-5.1
[2022.12.16-17.06.25:462][  0]LogAudio: Display: Initializing Audio Device Manager...
[2022.12.16-17.06.25:487][  0]LogAudio: Display: Loading Default Audio Settings Objects...
[2022.12.16-17.06.25:488][  0]LogAudio: Display: No default SoundConcurrencyObject specified (or failed to load).
[2022.12.16-17.06.25:491][  0]LogAudio: Display: AudioInfo: 'BINKA' Registered
[2022.12.16-17.06.25:493][  0]LogAudio: Display: AudioInfo: 'PCM' Registered
[2022.12.16-17.06.25:493][  0]LogAudio: Display: AudioInfo: 'ADPCM' Registered
[2022.12.16-17.06.25:493][  0]LogAudio: Display: AudioInfo: 'OGG' Registered
[2022.12.16-17.06.25:493][  0]LogAudio: Display: AudioInfo: 'OPUS' Registered
[2022.12.16-17.06.25:494][  0]LogAudio: Display: Audio Device Manager Initialized
[2022.12.16-17.06.25:494][  0]LogAudio: Display: Creating Audio Device:                 Id: 1, Scope: Shared, Realtime: True
[2022.12.16-17.06.25:494][  0]LogAudioMixer: Display: Audio Mixer Platform Settings:
[2022.12.16-17.06.25:494][  0]LogAudioMixer: Display: 	Sample Rate:						  48000
[2022.12.16-17.06.25:494][  0]LogAudioMixer: Display: 	Callback Buffer Frame Size Requested: 1024
[2022.12.16-17.06.25:494][  0]LogAudioMixer: Display: 	Callback Buffer Frame Size To Use:	  1024
[2022.12.16-17.06.25:494][  0]LogAudioMixer: Display: 	Number of buffers to queue:			  1
[2022.12.16-17.06.25:494][  0]LogAudioMixer: Display: 	Max Channels (voices):				  0
[2022.12.16-17.06.25:494][  0]LogAudioMixer: Display: 	Number of Async Source Workers:		  4
[2022.12.16-17.06.25:494][  0]LogAudio: Display: AudioDevice MaxSources: 32
[2022.12.16-17.06.25:494][  0]LogAudio: Display: Audio Spatialization Plugin: None (built-in).
[2022.12.16-17.06.25:494][  0]LogAudio: Display: Audio Reverb Plugin: None (built-in).
[2022.12.16-17.06.25:494][  0]LogAudio: Display: Audio Occlusion Plugin: None (built-in).
[2022.12.16-17.06.25:519][  0]LogAudioMixer: Display: Initializing audio mixer using platform API: 'XAudio2'
[2022.12.16-17.06.25:581][  0]LogAudioMixer: Display: Using Audio Hardware Device Głośniki (Realtek High Definition Audio)
[2022.12.16-17.06.25:582][  0]LogAudioMixer: Display: Initializing Sound Submixes...
[2022.12.16-17.06.25:586][  0]LogAudioMixer: Display: Creating Master Submix 'MasterSubmixDefault'
[2022.12.16-17.06.25:586][  0]LogAudioMixer: Display: Creating Master Submix 'MasterReverbSubmixDefault'
[2022.12.16-17.06.25:588][  0]LogAudioMixer: FMixerPlatformXAudio2::StartAudioStream() called. InstanceID=1
[2022.12.16-17.06.25:588][  0]LogAudioMixer: Display: Output buffers initialized: Frames=1024, Channels=2, Samples=2048, InstanceID=1
[2022.12.16-17.06.25:589][  0]LogAudioMixer: Display: Starting AudioMixerPlatformInterface::RunInternal(), InstanceID=1
[2022.12.16-17.06.25:589][  0]LogAudioMixer: Display: FMixerPlatformXAudio2::SubmitBuffer() called for the first time. InstanceID=1
[2022.12.16-17.06.25:589][  0]LogInit: FAudioDevice initialized.
[2022.12.16-17.06.25:590][  0]LogAudio: Display: Audio Device (ID: 1) registered with world 'Untitled'.
[2022.12.16-17.06.25:610][  0]LogCsvProfiler: Display: Metadata set : largeworldcoordinates="1"
[2022.12.16-17.06.25:621][  0]LogLiveCoding: Display: Starting LiveCoding
[2022.12.16-17.06.25:621][  0]LogLiveCoding: Display: LiveCodingConsole Arguments: UnrealEditor Win64 Development
[2022.12.16-17.06.25:623][  0]LogLiveCoding: Display: First instance in process group "UE_fme2_0xbd784bad", spawning console
[2022.12.16-17.06.25:645][  0]LogLiveCoding: Display: Waiting for server
[2022.12.16-17.06.26:181][  0]LogLiveCoding: Display: Successfully initialized, removing startup thread
[2022.12.16-17.06.26:267][  0]LogInit: Transaction tracking system initialized
[2022.12.16-17.06.26:348][  0]LogSourceControl: Uncontrolled asset enumeration started...
[2022.12.16-17.06.26:370][  0]BlueprintLog: New page: Editor Load
[2022.12.16-17.06.26:374][  0]LogSourceControl: Uncontrolled asset enumeration finished in 0.02569 seconds (Found 115 uncontrolled assets)
[2022.12.16-17.06.26:745][  0]LocalizationService: Localization service is disabled
[2022.12.16-17.06.26:810][  0]TimingProfiler: Initialize
[2022.12.16-17.06.26:810][  0]TimingProfiler: OnSessionChanged
[2022.12.16-17.06.26:810][  0]LoadingProfiler: Initialize
[2022.12.16-17.06.26:810][  0]LoadingProfiler: OnSessionChanged
[2022.12.16-17.06.26:810][  0]NetworkingProfiler: Initialize
[2022.12.16-17.06.26:810][  0]NetworkingProfiler: OnSessionChanged
[2022.12.16-17.06.26:810][  0]MemoryProfiler: Initialize
[2022.12.16-17.06.26:810][  0]MemoryProfiler: OnSessionChanged
[2022.12.16-17.06.29:513][  0]LogFileCache: Scanning file cache for directory 'D:/fme2/fme2/Content/' took 0.00s
[2022.12.16-17.06.31:397][  0]LogEditorDomain: Display: Class /Script/AnimationData.AnimationSequencerDataModel is imported by a package but does not exist in memory. EditorDomain keys for packages using it will be invalid if it still exists.
	To clear this message, resave packages that use the deleted class, or load its module earlier than the packages that use it are referenced.
[2022.12.16-17.06.31:620][  0]LogLevelSequenceEditor: LevelSequenceEditor subsystem initialized.
[2022.12.16-17.06.31:826][  0]LogInit: Display: Engine is initialized. Leaving FEngineLoop::Init()
[2022.12.16-17.06.31:833][  0]SourceControl: Source control is disabled
[2022.12.16-17.06.31:833][  0]LogUnrealEdMisc: Loading editor; pre map load, took 36.513
[2022.12.16-17.06.31:833][  0]Cmd: MAP LOAD FILE="../../../Engine/Content/Maps/Templates/OpenWorld.umap" TEMPLATE=1 SHOWPROGRESS=1 FEATURELEVEL=4
[2022.12.16-17.06.31:833][  0]LightingResults: New page: Lighting Build
[2022.12.16-17.06.31:840][  0]LogWorld: UWorld::CleanupWorld for Untitled, bSessionEnded=true, bCleanupResources=true
[2022.12.16-17.06.31:840][  0]LogSlate: InvalidateAllWidgets triggered.  All widgets were invalidated
[2022.12.16-17.06.31:841][  0]MapCheck: New page: Map Check
[2022.12.16-17.06.31:841][  0]LightingResults: New page: Lighting Build
[2022.12.16-17.06.31:847][  0]LogAudio: Display: Audio Device unregistered from world 'None'.
[2022.12.16-17.06.31:884][  0]LogUObjectHash: Compacting FUObjectHashTables data took   0.75ms
[2022.12.16-17.06.31:894][  0]LogAudio: Display: Audio Device (ID: 1) registered with world 'Untitled_1'.
[2022.12.16-17.06.31:894][  0]LogChaos: FPhysicsSolverBase::AsyncDt:-1.000000
[2022.12.16-17.06.31:894][  0]LogAIModule: Creating AISystem for world Untitled_1
[2022.12.16-17.06.31:895][  0]LogWorldPartition: ULevel::OnLevelLoaded(Untitled_1)(bIsOwningWorldGameWorld=0, bIsOwningWorldPartitioned=1, bIsValidLevelInstance=0, InitializeForMainWorld=1, InitializeForEditor=0, InitializeForGame=0)
[2022.12.16-17.06.31:895][  0]LogWorldPartition: Display: WorldPartition initialize started...
[2022.12.16-17.06.31:895][  0]LogWorldPartition: UWorldPartition::Initialize(Asset=Untitled_1, IsEditor=1, bPIEWorldTravel=0 IsGame=0, IsCooking=0)
[2022.12.16-17.06.33:105][  0]LogContentBundle: [Container: Untitled_1] Creating new contrainer.
[2022.12.16-17.06.33:105][  0]LogWorldPartition: Display: WorldPartition initialize took 1.21 sec
[2022.12.16-17.06.33:652][  0]LogEditorServer: Finished looking for orphan Actors (0.000 secs)
[2022.12.16-17.06.34:112][  0]LogUObjectHash: Compacting FUObjectHashTables data took   1.27ms
[2022.12.16-17.06.34:113][  0]Cmd: MAP CHECKDEP NOCLEARLOG
[2022.12.16-17.06.34:133][  0]MapCheck: Map check complete: 0 Error(s), 0 Warning(s), took 20,03ms to complete.
[2022.12.16-17.06.34:133][  0]LogFileHelpers: Loading map 'OpenWorld' took 2.301
[2022.12.16-17.06.34:274][  0]LogUnrealEdMisc: Total Editor Startup Time, took 38.954
[2022.12.16-17.06.34:274][  0]LogShaderCompilers: Display: ================================================
[2022.12.16-17.06.34:274][  0]LogShaderCompilers: Display: === FShaderJobCache stats ===
[2022.12.16-17.06.34:274][  0]LogShaderCompilers: Display: Total job queries 0, among them cache hits 0 (0.00%)
[2022.12.16-17.06.34:274][  0]LogShaderCompilers: Display: Tracking 0 distinct input hashes that result in 0 distinct outputs (0.00%)
[2022.12.16-17.06.34:274][  0]LogShaderCompilers: Display: RAM used: 0.00 MB (0.00 GB) of 819.20 MB (0.80 GB) budget. Usage: 0.00%
[2022.12.16-17.06.34:274][  0]LogShaderCompilers: Display: === Shader Compilation stats ===
[2022.12.16-17.06.34:274][  0]LogShaderCompilers: Display: Shaders Compiled: 0
[2022.12.16-17.06.34:274][  0]LogShaderCompilers: Display: Jobs assigned 0, completed 0 (0.00%)
[2022.12.16-17.06.34:274][  0]LogShaderCompilers: Display: Time at least one job was in flight (either pending or executed): 0.00 s
[2022.12.16-17.06.34:274][  0]LogShaderCompilers: Display: ================================================
[2022.12.16-17.06.37:211][  0]LogSlate: Updating window title bar state: overlay mode, drag disabled, window buttons hidden, title bar hidden
[2022.12.16-17.06.37:691][  0]LogSlate: Updating window title bar state: overlay mode, drag disabled, window buttons hidden, title bar hidden
[2022.12.16-17.06.37:698][  0]LogSlate: Updating window title bar state: overlay mode, drag disabled, window buttons hidden, title bar hidden
[2022.12.16-17.06.37:704][  0]LogSlate: Updating window title bar state: overlay mode, drag disabled, window buttons hidden, title bar hidden
[2022.12.16-17.06.46:337][  0]LogPakFile: Display: Mounted Pak file 'D:/UE5.1/UE_5.1/FeaturePacks/StarterContent.upack', mount point: 'root:/'
[2022.12.16-17.06.46:338][  0]LogPakFile: Display: Mounted Pak file 'D:/UE5.1/UE_5.1/FeaturePacks/TP_FirstPerson.upack', mount point: 'root:/'
[2022.12.16-17.06.46:340][  0]LogPakFile: Display: Mounted Pak file 'D:/UE5.1/UE_5.1/FeaturePacks/TP_FirstPersonBP.upack', mount point: 'root:/'
[2022.12.16-17.06.46:341][  0]LogPakFile: Display: Mounted Pak file 'D:/UE5.1/UE_5.1/FeaturePacks/TP_HandheldARBP.upack', mount point: 'root:/'
[2022.12.16-17.06.46:342][  0]LogPakFile: Display: Mounted Pak file 'D:/UE5.1/UE_5.1/FeaturePacks/TP_ThirdPerson.upack', mount point: 'root:/'
[2022.12.16-17.06.46:343][  0]LogPakFile: Display: Mounted Pak file 'D:/UE5.1/UE_5.1/FeaturePacks/TP_ThirdPersonBP.upack', mount point: 'root:/'
[2022.12.16-17.06.46:344][  0]LogPakFile: Display: Mounted Pak file 'D:/UE5.1/UE_5.1/FeaturePacks/TP_TopDown.upack', mount point: 'root:/'
[2022.12.16-17.06.46:345][  0]LogPakFile: Display: Mounted Pak file 'D:/UE5.1/UE_5.1/FeaturePacks/TP_TopDownBP.upack', mount point: 'root:/'
[2022.12.16-17.06.46:346][  0]LogPakFile: Display: Mounted Pak file 'D:/UE5.1/UE_5.1/FeaturePacks/TP_VehicleAdvBP.upack', mount point: 'root:/'
[2022.12.16-17.06.46:347][  0]LogPakFile: Display: Mounted Pak file 'D:/UE5.1/UE_5.1/FeaturePacks/TP_VirtualRealityBP.upack', mount point: 'root:/'
[2022.12.16-17.06.47:030][  0]LogSlate: Took 0.026178 seconds to synchronously load lazily loaded font '../../../Engine/Content/Slate/Fonts/Roboto-Regular.ttf' (155K)
[2022.12.16-17.06.47:219][  0]LogSlate: Took 0.024046 seconds to synchronously load lazily loaded font '../../../Engine/Content/Slate/Fonts/Roboto-Bold.ttf' (160K)
[2022.12.16-17.06.47:797][  0]LogSlate: Took 0.001024 seconds to synchronously load lazily loaded font '../../../Engine/Content/Slate/Fonts/DroidSansMono.ttf' (77K)
[2022.12.16-17.06.48:311][  0]LogViewport: Scene viewport resized to 1170x902, mode Windowed.
[2022.12.16-17.06.58:662][  0]LogStall: Startup...
[2022.12.16-17.06.58:664][  0]LogStall: Startup complete.
[2022.12.16-17.06.59:040][  0]LogLoad: (Engine Initialization) Total time: 63.72 seconds
[2022.12.16-17.06.59:040][  0]LogLoad: (Engine Initialization) Total Blueprint compile time: 0.00 seconds
[2022.12.16-17.07.00:158][  0]LogAssetRegistry: Asset discovery search completed in 50.2376 seconds
[2022.12.16-17.07.00:662][  0]LogCollectionManager: Fixed up redirectors for 0 collections in 0.000005 seconds (updated 0 objects)
[2022.12.16-17.07.01:656][  0]LogContentStreaming: Texture pool size now 1000 MB
[2022.12.16-17.07.03:303][  0]LogAutomationController: Ignoring very large delta of 16784973.52 seconds in calls to FAutomationControllerManager::Tick() and not penalizing unresponsive tests
[2022.12.16-17.07.08:071][  2]LogAutomationController: Ignoring very large delta of 4.81 seconds in calls to FAutomationControllerManager::Tick() and not penalizing unresponsive tests
[2022.12.16-17.07.08:958][  5]LogAudioMixer: Warning: Audio Thread Command from SetListenerTransforms()() took 18.036501 milleseconds to execute
[2022.12.16-17.08.13:012][955]LogDerivedDataCache: C:/Users/RyzenRX580/AppData/Local/UnrealEngine/Common/DerivedDataCache: Maintenance finished in +00:00:14.360 and deleted 0 files with total size 0 MiB. Scanned 8043 files in 7939 folders with total size 357 MiB.
[2022.12.16-17.10.42:077][811]LogAutomationController: Ignoring very large delta of 3.57 seconds in calls to FAutomationControllerManager::Tick() and not penalizing unresponsive tests
[2022.12.16-17.10.43:735][881]LogShaderCompilers: Display: ================================================
[2022.12.16-17.10.43:735][881]LogShaderCompilers: Display: === FShaderJobCache stats ===
[2022.12.16-17.10.43:735][881]LogShaderCompilers: Display: Total job queries 88, among them cache hits 2 (2.27%)
[2022.12.16-17.10.43:735][881]LogShaderCompilers: Display: Tracking 75 distinct input hashes that result in 67 distinct outputs (89.33%)
[2022.12.16-17.10.43:735][881]LogShaderCompilers: Display: RAM used: 0.72 MB (0.00 GB) of 819.20 MB (0.80 GB) budget. Usage: 0.09%
[2022.12.16-17.10.43:735][881]LogShaderCompilers: Display: === Shader Compilation stats ===
[2022.12.16-17.10.43:735][881]LogShaderCompilers: Display: Shaders Compiled: 75
[2022.12.16-17.10.43:735][881]LogShaderCompilers: Display: Jobs assigned 83, completed 75 (90.36%)
[2022.12.16-17.10.43:735][881]LogShaderCompilers: Display: Average time worker was idle: 44.96 s
[2022.12.16-17.10.43:735][881]LogShaderCompilers: Display: Time job spent in pending queue: average 8.63 s, longest 31.60 s
[2022.12.16-17.10.43:735][881]LogShaderCompilers: Display: Job execution time: average 16.78 s, max 32.07 s
[2022.12.16-17.10.43:735][881]LogShaderCompilers: Display: Job life time (pending + execution): average 26.29 s, max 32.97
[2022.12.16-17.10.43:735][881]LogShaderCompilers: Display: Time at least one job was in flight (either pending or executed): 37.61 s
[2022.12.16-17.10.43:735][881]LogShaderCompilers: Display: Jobs were issued in 44 batches (only local compilation was used), average 1.89 jobs/batch
[2022.12.16-17.10.43:735][881]LogShaderCompilers: Display: Average processing rate: 1.99 jobs/sec
[2022.12.16-17.10.43:735][881]LogShaderCompilers: Display: Total thread time: 136.43 s
[2022.12.16-17.10.43:735][881]LogShaderCompilers: Display: Total thread preprocess time: 9.90 s
[2022.12.16-17.10.43:735][881]LogShaderCompilers: Display: Percentage time preprocessing: 7.26%
[2022.12.16-17.10.43:744][881]LogShaderCompilers: Display: Effective parallelization: 3.63 (times faster than compiling all shaders on one thread). Compare with number of workers: 8
[2022.12.16-17.10.43:744][881]LogShaderCompilers: Display: Top 5 most expensive shader types by average time:
[2022.12.16-17.10.43:744][881]LogShaderCompilers: Display:                                   FCloudRenderViewPS111false (compiled    1 times, average 3.50 sec, max 3.50 sec, min 3.50 sec)
[2022.12.16-17.10.43:744][881]LogShaderCompilers: Display:                                   FCloudRenderViewPS110false (compiled    1 times, average 2.78 sec, max 2.78 sec, min 2.78 sec)
[2022.12.16-17.10.43:744][881]LogShaderCompilers: Display:                                   FCloudRenderViewPS010false (compiled    1 times, average 2.63 sec, max 2.63 sec, min 2.63 sec)
[2022.12.16-17.10.43:744][881]LogShaderCompilers: Display:                           FRenderVolumetricCloudRenderViewCS (compiled   17 times, average 2.51 sec, max 3.66 sec, min 1.84 sec)
[2022.12.16-17.10.43:744][881]LogShaderCompilers: Display:                                    FCloudRenderViewPS000true (compiled    1 times, average 2.40 sec, max 2.40 sec, min 2.40 sec)
[2022.12.16-17.10.43:744][881]LogShaderCompilers: Display: Top 5 shader types by total compile time:
[2022.12.16-17.10.43:744][881]LogShaderCompilers: Display:                           FRenderVolumetricCloudRenderViewCS - 31.23% of total time (compiled   17 times, average 2.51 sec, max 3.66 sec, min 1.84 sec)
[2022.12.16-17.10.43:744][881]LogShaderCompilers: Display:                                 TBasePassPSFNoLightMapPolicy - 5.89% of total time (compiled    5 times, average 1.61 sec, max 2.05 sec, min 1.03 sec)
[2022.12.16-17.10.43:744][881]LogShaderCompilers: Display:                                 TBasePassVSFNoLightMapPolicy - 5.68% of total time (compiled    5 times, average 1.55 sec, max 2.05 sec, min 1.11 sec)
[2022.12.16-17.10.43:744][881]LogShaderCompilers: Display:                                          FLumenCardPS<false> - 4.59% of total time (compiled    5 times, average 1.25 sec, max 2.05 sec, min 0.66 sec)
[2022.12.16-17.10.43:744][881]LogShaderCompilers: Display:                                                 FLumenCardVS - 3.50% of total time (compiled    3 times, average 1.59 sec, max 2.05 sec, min 1.20 sec)
[2022.12.16-17.10.43:744][881]LogShaderCompilers: Display: ================================================
[2022.12.16-17.11.00:946][578]LogSlate: Window 'Create New GameMode' being destroyed
[2022.12.16-17.11.01:421][579]LogAutomationController: Ignoring very large delta of 5.89 seconds in calls to FAutomationControllerManager::Tick() and not penalizing unresponsive tests
[2022.12.16-17.11.03:715][721]LogSlate: Window 'Project Settings' being destroyed
[2022.12.16-17.11.03:720][721]LogSlate: Window 'Project Settings' being destroyed
[2022.12.16-17.11.04:469][759]LogSlate: Took 0.015527 seconds to synchronously load lazily loaded font '../../../Engine/Content/Slate/Fonts/Roboto-Light.ttf' (167K)
[2022.12.16-17.11.06:076][864]LogAssetEditorSubsystem: Opening Asset editor for Blueprint /Game/Blueprints/FPSG.FPSG
[2022.12.16-17.11.06:086][864]LogChaos: FPhysicsSolverBase::AsyncDt:-1.000000
[2022.12.16-17.11.06:834][864]LogBlueprintEditor: Perf: 0.5 total seconds to load all 5 blueprint libraries in project. Avoid references to content in blueprint libraries to shorten this time.
[2022.12.16-17.11.06:834][864]LogBlueprintEditor: Perf: 0.3 seconds loading: /Engine/EditorBlueprintResources/StandardMacros
[2022.12.16-17.11.08:092][864]LogStall: Stall detector 'UAssetEditorSubsystem::OpenEditorForAsset' exceeded budget of 2.000000s, reporting...
[2022.12.16-17.11.21:196][864]LogAudioMixer: Warning: AudioMixerPlatformInterface Timeout [12773ms] waiting for h/w. InstanceID=1
[2022.12.16-17.11.21:197][864]LogStall: Stall detector 'UAssetEditorSubsystem::OpenEditorForAsset' report submitted, and took 0.034626s
[2022.12.16-17.11.23:357][864]LogTexture: Display: Waiting for textures to be ready 0/2 (/Engine/EditorResources/TilePatine_N) ...
[2022.12.16-17.11.23:674][864]LogStall: Stall detector 'UAssetEditorSubsystem::OpenEditorForAsset' complete in 0.004889s (2.524988s overbudget)
[2022.12.16-17.11.23:732][864]LogAudioMixer: Display: FMixerNullCallback: Simulating a h/w device callback at [21ms], ThreadID=18852
[2022.12.16-17.11.24:732][864]LogAudioMixer: Warning: Timed out waiting to flush the source manager command queue (1).
[2022.12.16-17.11.25:732][864]LogAudioMixer: Warning: Timed out waiting to flush the source manager command queue (2).
[2022.12.16-17.11.25:779][864]LogAudioMixer: Display: Successful Swap new Device is (NumChannels=2, SampleRate=48000, DeviceID={0.0.0.00000000}.{348b518f-0f03-4eeb-a4ff-bed2f0e686a9}, Name=Głośniki (Realtek High Definition Audio)), Reason=AudioMixerPlatformInterface. Timeout waiting for h/w., InstanceID=1, DurationMS=28.34
[2022.12.16-17.11.25:796][864]LogAudioMixer: Display: Output buffers initialized: Frames=1024, Channels=2, Samples=2048, InstanceID=1
[2022.12.16-17.11.25:798][864]LogAudioMixer: Display: Starting AudioMixerPlatformInterface::RunInternal(), InstanceID=1
[2022.12.16-17.11.26:029][864]LogViewport: Scene viewport resized to 953x617, mode Windowed.
[2022.12.16-17.11.26:253][865]LogAutomationController: Ignoring very large delta of 20.22 seconds in calls to FAutomationControllerManager::Tick() and not penalizing unresponsive tests
[2022.12.16-17.14.01:344][521]LogSlate: Window 'FPSG' being destroyed
[2022.12.16-17.14.01:351][521]LogSlate: Window 'FPSG' being destroyed
[2022.12.16-17.14.01:398][521]LogWorld: UWorld::CleanupWorld for World_1, bSessionEnded=true, bCleanupResources=true
[2022.12.16-17.14.01:398][521]LogSlate: InvalidateAllWidgets triggered.  All widgets were invalidated
[2022.12.16-17.14.08:715][241]LogContentBrowser: Deferred new asset file creation: FPSG_Child
[2022.12.16-17.14.08:740][241]LogContentBrowser: Creating deferred item: FPSG_Child
[2022.12.16-17.14.08:820][242]LogContentBrowser: Renaming the item being created (Deferred Item: FPSG_Child).
[2022.12.16-17.14.24:423][254]LogContentBrowser: Attempting asset rename: FPSG_Child -> SG_Child_FPSG
[2022.12.16-17.14.24:463][254]LogContentBrowser: End creating deferred item FPSG_Child
[2022.12.16-17.14.25:131][303]LogAssetEditorSubsystem: Opening Asset editor for Blueprint /Game/Blueprints/SG_Child_FPSG.SG_Child_FPSG
[2022.12.16-17.14.25:131][303]LogChaos: FPhysicsSolverBase::AsyncDt:-1.000000
[2022.12.16-17.14.25:848][303]LogViewport: Scene viewport resized to 953x617, mode Windowed.
[2022.12.16-17.14.28:811][461]LogSlate: Window 'SG_Child_FPSG' being destroyed
[2022.12.16-17.14.28:817][461]LogSlate: Window 'SG_Child_FPSG' being destroyed
[2022.12.16-17.14.28:822][461]LogWorld: UWorld::CleanupWorld for World_2, bSessionEnded=true, bCleanupResources=true
[2022.12.16-17.14.28:822][461]LogSlate: InvalidateAllWidgets triggered.  All widgets were invalidated
[2022.12.16-17.14.45:276][120]LogUObjectHash: Compacting FUObjectHashTables data took   1.35ms
[2022.12.16-17.14.46:371][120]LogSlate: Window 'Delete Assets' being destroyed
[2022.12.16-17.14.46:557][120]LogUObjectHash: Compacting FUObjectHashTables data took   1.27ms
[2022.12.16-17.14.46:584][120]LogUObjectHash: Compacting FUObjectHashTables data took   1.25ms
[2022.12.16-17.14.46:612][120]LogUObjectHash: Compacting FUObjectHashTables data took   0.75ms
[2022.12.16-17.14.48:795][288]LogContentBrowser: Deferred new asset folder creation: NewFolder
[2022.12.16-17.14.48:873][288]LogContentBrowser: Creating deferred item: NewFolder
[2022.12.16-17.14.48:885][289]LogContentBrowser: Renaming the item being created (Deferred Item: NewFolder).
[2022.12.16-17.14.55:508][712]LogContentBrowser: Attempting asset rename: NewFolder -> Characters
[2022.12.16-17.14.55:532][712]LogContentBrowser: End creating deferred item NewFolder
[2022.12.16-17.14.57:082][833]LogContentBrowser: Deferred new asset folder creation: NewFolder
[2022.12.16-17.14.57:103][833]LogContentBrowser: Creating deferred item: NewFolder
[2022.12.16-17.14.57:113][834]LogContentBrowser: Renaming the item being created (Deferred Item: NewFolder).
[2022.12.16-17.14.59:362][977]LogContentBrowser: Attempting asset rename: NewFolder -> Maps
[2022.12.16-17.14.59:363][977]LogContentBrowser: End creating deferred item NewFolder
[2022.12.16-17.15.01:319][145]LogContentBrowser: Deferred new asset folder creation: NewFolder
[2022.12.16-17.15.01:331][145]LogContentBrowser: Creating deferred item: NewFolder
[2022.12.16-17.15.01:340][146]LogContentBrowser: Renaming the item being created (Deferred Item: NewFolder).
[2022.12.16-17.15.03:395][276]LogContentBrowser: Attempting asset rename: NewFolder -> Assets
[2022.12.16-17.15.03:396][276]LogContentBrowser: End creating deferred item NewFolder
[2022.12.16-17.15.05:082][412]LogContentBrowser: Deferred new asset folder creation: NewFolder
[2022.12.16-17.15.05:092][412]LogContentBrowser: Creating deferred item: NewFolder
[2022.12.16-17.15.05:101][413]LogContentBrowser: Renaming the item being created (Deferred Item: NewFolder).
[2022.12.16-17.15.08:947][656]LogContentBrowser: Attempting asset rename: NewFolder -> Materials
[2022.12.16-17.15.08:949][656]LogContentBrowser: End creating deferred item NewFolder
[2022.12.16-17.15.36:296][163]LogEditorClassViewer: Warning: Class /Script/InteractiveToolsFramework.GizmoActor has parent /Script/InteractiveToolsFramework.InternalToolFrameworkActor, but this parent is not found. The Class will not be shown in ClassViewer.
[2022.12.16-17.15.36:296][163]LogEditorClassViewer: Warning: Class /Script/ModelingComponents.PreviewGeometryActor has parent /Script/InteractiveToolsFramework.InternalToolFrameworkActor, but this parent is not found. The Class will not be shown in ClassViewer.
[2022.12.16-17.15.36:296][163]LogEditorClassViewer: Warning: Class /Script/ModelingComponents.PreviewMeshActor has parent /Script/InteractiveToolsFramework.InternalToolFrameworkActor, but this parent is not found. The Class will not be shown in ClassViewer.
[2022.12.16-17.15.46:263][163]LogWindows: LaunchURL https://docs.unrealengine.com/5.1/pl/Gameplay/Framework/Pawn/Character?utm_source=editor&utm_medium=docs&utm_campaign=doc_anchors
[2022.12.16-17.17.08:255][163]LogSlate: Window 'Pick Parent Class' being destroyed
